Task,Model,Previous Best,Model Accuracy,SOTA.Comparison,Claimed Improvement (Bolded or in text),,,
SST-2,raffel2019exploring,97.1,97.1,Y,N,,,
MRPC,raffel2019exploring,91.5,89.2,Y,N,,,
MNLI-m,raffel2019exploring,91.3,92,Y,Y,,,
MNLI-mm,raffel2019exploring,91,91.7,Y,Y,,,
QQP,raffel2019exploring,90.7,90.4,Y,N,,,
QNLI,raffel2019exploring,99.2,96.7,Y,N,,,
RTE,raffel2019exploring,89.2,92.5,Y,Y,,,
WNLI,raffel2019exploring,91.8,93.2,Y,N,,,
SST-2,liu2019roberta,96.8,96.7,Y,N,,,
MRPC,liu2019roberta,93,92.3,Y,N,,,
MNLI-m,liu2019roberta,90.2,90.8,Y,Y,,,
MNLI-mm,liu2019roberta,89.8,90.2,Y,Y,,,
QQP,liu2019roberta,90.7,90.2,Y,N,,,
QNLI,liu2019roberta,98.6,98.9,Y,Y,,,
RTE,liu2019roberta,86.3,88.2,Y,Y,,,
WNLI,liu2019roberta,90.4,89,Y,N,,,
SST-2,clark2019electra,97.1,97.1,Y,N,,,
MRPC,clark2019electra,91.2,90.7,Y,N,,,
MNLI-m,clark2019electra,91.3,91.3,Y,N,,,
QQP,clark2019electra,90.5,90.8,Y,Y,,,
QNLI,clark2019electra,95.4,95.8,Y,Y,,,
RTE,clark2019electra,89.2,89.8,Y,Y,,,
WNLI,clark2019electra,92.5,92.5,Y,N,,,
SST-2,lan2019albert,96.8,97.1,Y,Y,,,
MRPC,lan2019albert,92.6,93.4,Y,Y,,,
MNLI-m,lan2019albert,91.1,91.3,Y,Y,,,
QQP,lan2019albert,90.7,90.5,Y,N,,,
QNLI,lan2019albert,98.9,99.2,Y,Y,,,
RTE,lan2019albert,88.7,89.2,Y,Y,,,
WNLI,lan2019albert,90.4,91.8,Y,Y,,,
SST-2,yang2019xlnet,96.7,97.1,Y,Y,,,
MRPC,yang2019xlnet,92.7,92.9,Y,Y,,,
MNLI-m,yang2019xlnet,90.8,90.9,Y,Y,,,
MNLI-mm,yang2019xlnet,90.2,90.9,Y,Y,,,
QQP,yang2019xlnet,90.2,90.4,Y,Y,,,
QNLI,yang2019xlnet,98.9,99,Y,Y,,,
RTE,yang2019xlnet,88.2,88.5,Y,Y,,,
WNLI,yang2019xlnet,89,92.5,Y,Y,,,
SST-2,structbert,96.8,97.1,Y,Y,,,
MRPC,structbert,90.8,91.5,Y,Y,,,
MNLI-m,structbert,91.1,90.7,Y,N,,,
MNLI-mm,structbert,90.7,90.3,Y,N,,,
QQP,structbert,90.3,90.7,Y,Y,,,
QNLI,structbert,98.9,99.2,Y,Y,,,
RTE,structbert,88.7,87.3,Y,N,,,
WNLI,structbert,89.7,89,Y,Y,,,
SST-2,spanbert,95.2,94.8,Y,N,,,
MRPC,spanbert,87.8,87.9,Y,Y,,,
MNLI-m,spanbert,88,88.1,Y,Y,,,
MNLI-mm,spanbert,87.4,87.7,Y,Y,,,
QQP,spanbert,89.5,89.5,Y,N,,,
QNLI,spanbert,93,94.3,Y,Y,,,
RTE,spanbert,74.7,79,Y,Y,,,
SST-2,sembert,95.6,94.6,Y,N,,,
MNLI-m,sembert,86.7,87.6,Y,Y,,,
MNLI-mm,sembert,86,86.3,Y,Y,,,
QNLI,sembert,92.7,94.6,Y,Y,,,
RTE,sembert,75.5,84.5,Y,Y,,,
MNLI-m,bertorig,82.1,86.7,Y,Y,,,
MNLI-mm,bertorig,81.4,85.9,Y,Y,,,
QNLI,bertorig,87.4,92.7,Y,Y,,,
SST-2,bertorig,93.2,94.9,Y,Y,,,
RTE,bertorig,61.7,70.1,Y,Y,,,
SST-2,ernie,94.9,95.6,Y,Y,,,
MRPC,ernie,85.4,87.4,Y,Y,,,
QQP,ernie,89.3,90.1,Y,Y,,,
MNLI-m,ernie,86.7,88.7,Y,Y,,,
MNLI-mm,ernie,85.9,88.8,Y,Y,,,
QNLI,ernie,92.7,94.6,Y,Y,,,
RTE,ernie,70.1,80.2,Y,Y,,,
WNLI,ernie,65.1,67.8,Y,Y,,,
SST-2,mt-dnn-smart,97.1,97.5,Y,Y,,,
MRPC,mt-dnn-smart,91.5,91.6,Y,Y,,,
QQP,mt-dnn-smart,90.7,90.2,Y,N,,,
MNLI-m,mt-dnn-smart,92,91.3,Y,N,,,
MNLI-mm,mt-dnn-smart,91.7,90.8,Y,N,,,
QNLI,mt-dnn-smart,99.2,99.2,Y,N,,,
RTE,mt-dnn-smart,92.5,89.7,Y,N,,,
WNLI,mt-dnn-smart,93.2,94.5,Y,N,,,
SST-2,roberta+hire,96.7,97.1,N,Y,,,
MRPC,roberta+hire,89.8,90.7,N,Y,,,
QQP,roberta+hire,90.2,90.2,N,N,,,
MNLI-m,roberta+hire,90.8,90.7,N,N,,,
MNLI-mm,roberta+hire,90.2,90.4,N,Y,,,
QNLI,roberta+hire,95.4,95.5,N,Y,,,
RTE,roberta+hire,88.2,87.9,N,N,,,
SST-2,freelb,96.8,96.8,Y,N,,,
MRPC,freelb,90.7,90.8,Y,Y,,,
QQP,freelb,90.3,90.3,Y,N,,,
MNLI-m,freelb,90.8,91.1,Y,Y,,,
MNLI-mm,freelb,90.2,90.7,Y,Y,,,
QNLI,freelb,98.9,98.8,Y,N,,,
RTE,freelb,88.2,88.7,Y,Y,,,
WNLI,freelb,90.4,89,Y,N,,,
SST-2,spex on stilts,94.3,94.5,Y,Y,,,
MRPC,spex on stilts,86.6,87.6,Y,Y,,,
QQP,spex on stilts,89.4,89.5,Y,Y,,,
MNLI-m,spex on stilts,86,86.2,Y,Y,,,
RTE,spex on stilts,80.1,79.8,Y,N,,,
QNLI,spex on stilts,92.7,92.4,Y,N,,,
SST-2,bert on stilts,94.9,94.3,N,N,,,
MRPC,bert on stilts,89.3,86.7,N,N,,,
QQP,bert on stilts,72.1,71.9,N,N,,,
MNLI-m,bert on stilts,86.3,86,N,N,,,
QNLI,bert on stilts,91.1,91.1,N,N,,,
RTE,bert on stilts,70.1,80.1,N,Y,,,
SST-2,gpt on stilts,91.3,93.1,N,Y,,,
MRPC,gpt on stilts,75.7,83.7,N,Y,,,
QQP,gpt on stilts,70.3,70.1,N,N,,,
MNLI-m,gpt on stilts,81.8,80.7,N,N,,,
QNLI,gpt on stilts,88.1,87.2,N,N,,,
RTE,gpt on stilts,56,69.1,N,Y,,,
SST-2,elmo on stilts,87.1,86.5,N,N,,,
MRPC,elmo on stilts,69.1,73.9,N,Y,,,
QQP,elmo on stilts,63.9,64.4,N,Y,,,
MNLI-m,elmo on stilts,69,69.7,N,Y,,,
QNLI,elmo on stilts,57.1,62.6,N,Y,,,
RTE,elmo on stilts,52.3,54.4,N,Y,,,
